symbol,name,exchange,has_history,can_predict,prediction_mode,ui_greyed,ui_badge,last_updated
ASTERDM.NS,Aster DM Healthcare Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
ASTRAL.NS,Astral Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
ASTRAMICRO.NS,Astra Microwave Products Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
ASTRAZEN.NS,AstraZeneca Pharma India Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
ASTRON.NS,Astron Paper & Board Mill Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
ATALREAL.NS,Atal Realtech Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
ATAM.NS,Atam Valves Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
ATGL.NS,Adani Total Gas Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
ATHERENERG.NS,Ather Energy Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
ATL.NS,Allcargo Terminals Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
ATLANTAA.NS,ATLANTAA LIMITED,NSE,True,True,full,False,FULL,2026-01-27 19:47
ATLANTAELE.NS,Atlanta Electricals Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
ATLASCYCLE.NS,Atlas Cycles (Haryana) Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
ATUL.NS,Atul Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
ATULAUTO.NS,Atul Auto Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
AUBANK.NS,AU Small Finance Bank Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
AURIGROW.NS,Auri Grow India Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
AURIONPRO.NS,Aurionpro Solutions Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
AUROPHARMA.NS,Aurobindo Pharma Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
AURUM.NS,Aurum PropTech Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
AUSOMENT.NS,Ausom Enterprise Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
AUTOAXLES.NS,Automotive Axles Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
AUTOIND.NS,Autoline Industries Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
AVADHSUGAR.NS,Avadh Sugar & Energy Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
AVALON.NS,Avalon Technologies Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
AVANTEL.NS,Avantel Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
AVANTIFEED.NS,Avanti Feeds Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
AVG.NS,AVG Logistics Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
AVL.NS,Aditya Vision Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
AVONMORE.NS,Avonmore Capital & Management Services Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
AVROIND.NS,AVRO INDIA LIMITED,NSE,True,True,full,False,FULL,2026-01-27 19:47
AVTNPL.NS,AVT Natural Products Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
AWFIS.NS,Awfis Space Solutions Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
AWHCL.NS,Antony Waste Handling Cell Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
AWL.NS,AWL Agri Business Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
AXISBANK.NS,Axis Bank Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
AXISCADES.NS,AXISCADES Technologies Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
AXITA.NS,Axita Cotton Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
AYMSYNTEX.NS,AYM Syntex Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
AZAD.NS,Azad Engineering Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
BAFNAPH.NS,Bafna Pharmaceuticals Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
BAGFILMS.NS,B.A.G Films and Media Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
BAIDFIN.NS,Baid Finserv Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
BAJAJ-AUTO.NS,Bajaj Auto Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
BAJAJCON.NS,Bajaj Consumer Care Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
BAJAJELEC.NS,Bajaj Electricals Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
BAJAJFINSV.NS,Bajaj Finserv Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
